2025-06-03 12:28:09,713 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:28:22,570 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:28:22,570 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:28:22,846 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:28:22,846 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:28:22,846 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:28:31,207 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:28:31,207 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:28:31,207 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:52:33,283 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:05,264 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:05,264 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:05,439 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:05,439 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:05,439 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:14,344 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:14,344 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:14,344 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:38,910 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:38,910 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:38,910 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:38,910 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:39,106 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:39,106 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:39,106 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:39,106 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:39,106 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 12:53:48,559 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:48,559 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:48,559 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:48,559 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 12:53:48,559 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:00:14,226 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:00:14,226 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:00:14,226 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:00:14,226 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:00:14,226 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:00:14,226 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:01:53,757 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:17,442 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:47,965 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:47,965 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:48,060 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:48,060 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:48,060 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:05:59,006 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:05:59,006 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:05:59,006 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:06:44,471 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,471 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,471 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,471 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,746 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,746 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,746 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,746 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:44,746 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:06:54,016 | INFO     | ActionRecommender | Recommended action: REMOVE_AND_WARN (Severity: Medium)
2025-06-03 13:06:54,016 | INFO     | ActionRecommender | Recommended action: REMOVE_AND_WARN (Severity: Medium)
2025-06-03 13:06:54,016 | INFO     | ActionRecommender | Recommended action: REMOVE_AND_WARN (Severity: Medium)
2025-06-03 13:06:54,016 | INFO     | ActionRecommender | Recommended action: REMOVE_AND_WARN (Severity: Medium)
2025-06-03 13:06:54,016 | INFO     | ActionRecommender | Recommended action: REMOVE_AND_WARN (Severity: Medium)
2025-06-03 13:07:58,878 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:11:12,720 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:12:44,812 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:12:44,812 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:11,090 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:11,090 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:11,090 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:43,869 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:43,869 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:43,869 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:13:43,869 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:24,408 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:24,408 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:24,408 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:24,408 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:24,408 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:55,909 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:55,909 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:55,909 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:55,909 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:55,909 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:14:55,909 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:19:24,489 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:20:02,174 | INFO     | ActionRecommender | Recommended action: FLAG_FOR_REVIEW (Severity: Low)
2025-06-03 13:20:44,748 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:20:44,748 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:22:59,895 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:23:37,570 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:23:37,570 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:23:37,791 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:23:37,791 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:23:37,791 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:23:47,520 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:23:47,520 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:23:47,520 | INFO     | ActionRecommender | Recommended action: ALLOW (Severity: None)
2025-06-03 13:24:37,010 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:24:37,010 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
2025-06-03 13:24:37,010 | INFO     | ActionRecommender | Initialized action recommender with predefined policies
