2025-06-05 18:35:36,996 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 18:37:21,721 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 18:37:42,543 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpsieykf9rsample-0.mp3
2025-06-05 18:37:44,813 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fair eyes set it over her. Edmund

2025-06-05 18:38:15,102 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmps1l9acvysample-0.mp3
2025-06-05 18:38:18,554 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fear as set it over her. Edmund

2025-06-05 18:58:38,802 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 18:59:22,497 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmp1ys4a5v1sample-0.mp3
2025-06-05 18:59:24,852 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued: 'It was not fear eyes set it over her.'

2025-06-05 23:35:08,403 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 23:36:24,028 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 23:36:59,562 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 23:38:27,744 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 23:39:07,974 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 23:39:38,172 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpc9w6kcuysample-0.mp3
2025-06-05 23:39:40,742 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her, and his heart at end continued. It was not Ferreis set it over her.

2025-06-05 23:41:09,783 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpaiwzla5qsample-0.mp3
2025-06-05 23:41:13,219 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fear eyes set it over her.

2025-06-05 23:42:34,440 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpnrqz39nssample-0.mp3
2025-06-05 23:42:37,258 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end, continued. It was not fair eyes set it over her.

2025-06-05 23:42:47,725 | INFO     | AudioController | Transcribing audio file: C:\Users\RohanM\AppData\Local\Temp\tmpr18okqm4sample-0.mp3
2025-06-05 23:42:50,197 | INFO     | AudioController | Transcription result: Perhaps he made up to the party afterwards and took her and his heart at end continued. It was not fair eyes set it over her. Edmund

2025-06-05 23:59:01,121 | INFO     | AudioController | AudioController initialized with all agents
2025-06-05 23:59:34,573 | INFO     | AudioController | AudioController initialized with all agents
2025-06-06 00:00:07,384 | INFO     | AudioController | AudioController initialized with all agents
